NoShowRatio,AppointmentData,DayOfTheWeek
0.3932107496463932,2014-10-06,1
0.27597955706984667,2015-10-06,2
0.30927835051546393,2014-11-06,4
0.27898550724637683,2015-11-06,5
0.36363636363636365,2014-12-06,6
0.2696817420435511,2014-02-06,4
0.27404718693284935,2015-02-06,5
0.39271255060728744,2014-03-06,4
0.2791970802919708,2015-03-06,5
0.34295415959252973,2015-04-06,1
0.2898773006134969,2014-05-06,2
0.2694136291600634,2015-05-06,3
0.2732732732732733,2014-06-06,5
0.538160469667319,2015-07-06,1
0.329635499207607,2014-08-06,3
0.34477124183006536,2015-08-06,4
0.27140255009107467,2014-01-07,2
0.266304347826087,2015-01-07,3
0.34870317002881845,2014-10-07,2
0.30113636363636365,2015-10-07,3
0.35611510791366907,2014-11-07,5
0.3333333333333333,2015-11-07,6
0.3382113821138211,2015-12-07,1
0.2768166089965398,2014-02-07,5
0.3040816326530612,2014-03-07,5
0.43478260869565216,2015-03-07,6
0.34715821812596004,2014-04-07,1
0.29595015576323985,2015-04-07,2
0.25368248772504093,2014-05-07,3
0.26129032258064516,2015-05-07,4
0.6,2014-06-07,6
0.3042071197411003,2014-07-07,1
0.32310177705977383,2015-07-07,2
0.305,2014-08-07,4
0.27169811320754716,2015-08-07,5
0.25868725868725867,2014-01-08,3
0.26425855513307983,2015-01-08,4
0.33437990580847726,2014-10-08,3
0.2754098360655738,2015-10-08,4
0.0,2014-11-08,6
0.4828614008941878,2014-12-08,1
0.36875,2015-12-08,2
0.25950413223140495,2014-04-08,2
0.3022875816993464,2015-04-08,3
0.2995391705069124,2014-05-08,4
0.28314238952536824,2015-05-08,5
0.2981715893108298,2015-06-08,1
0.38481675392670156,2014-07-08,2
0.36906854130052724,2015-07-08,3
0.2900641025641026,2014-08-08,5
0.29593810444874274,2014-01-09,4
0.3183673469387755,2015-01-09,5
0.30697674418604654,2014-10-09,4
0.2957486136783734,2015-10-09,5
0.28067484662576686,2015-11-09,1
0.281195079086116,2014-12-09,2
0.32066115702479336,2015-12-09,3
0.5305466237942122,2015-02-09,1
0.30578512396694213,2015-03-09,1
0.27405247813411077,2014-04-09,3
0.30462519936204147,2015-04-09,4
0.2992831541218638,2014-05-09,5
0.29476584022038566,2014-06-09,1
0.2793696275071633,2015-06-09,2
0.30293159609120524,2014-07-09,3
0.30537974683544306,2015-07-09,4
0.19444444444444445,2014-08-09,6
0.29577464788732394,2014-09-09,2
0.3091247672253259,2015-09-09,3
